FPS,AVG_FPS,Flachhänger,left_x,top_y,width,height
0.0,0.0,100%,423,438,455,257
1.5,0.0,100%,425,439,452,255
2.9,0.0,100%,423,438,455,257
3.8,0.0,100%,425,439,452,254
5.0,0.0,100%,422,437,455,258
6.1,0.0,100%,423,439,455,254
7.0,0.0,100%,423,437,455,257
7.8,0.0,100%,423,438,456,256
8.6,0.0,100%,422,437,457,258
9.3,0.0,100%,422,437,455,259
10.0,0.0,100%,424,439,453,256
10.6,0.0,100%,423,438,454,255
11.2,0.0,100%,423,438,453,258
11.6,0.0,100%,421,438,457,256
12.0,0.0,100%,423,437,455,258
12.4,0.0,100%,422,438,456,261
12.7,0.0,100%,423,438,455,258
13.0,0.0,100%,422,438,456,257
13.3,0.0,100%,423,438,454,258
13.6,0.0,100%,422,438,456,260
13.8,0.0,100%,420,438,458,257
14.0,0.0,100%,420,438,458,258
14.1,0.0,100%,421,438,457,258
14.3,0.0,100%,421,440,457,253
14.4,0.0,100%,423,438,455,256
14.6,0.0,100%,423,438,455,256
14.7,0.0,100%,424,438,453,256
14.8,0.0,100%,423,440,454,255
15.0,0.0,100%,424,437,453,257
15.1,0.0,100%,424,438,454,258
15.2,0.0,100%,420,436,457,260
15.3,0.0,100%,422,439,457,256
15.3,0.0,100%,420,438,459,257
15.4,0.0,100%,423,439,456,256
15.4,0.0,100%,424,437,453,260
15.5,0.0,100%,424,438,454,257
15.5,0.0,100%,422,437,456,256
15.6,0.0,100%,422,437,455,259
15.6,0.0,100%,422,438,455,257
15.7,0.0,100%,425,438,453,257
15.6,0.0,100%,422,437,456,258
15.7,0.0,100%,420,437,457,258
15.7,0.0,100%,423,438,455,257
15.8,0.0,100%,422,437,454,258
15.8,0.0,100%,420,438,457,257
15.8,0.0,100%,421,438,457,256
15.8,0.0,100%,421,437,457,260
15.8,0.0,100%,421,437,457,259
15.8,15.7,100%,423,435,453,259
15.8,15.7,100%,421,436,457,257
15.9,15.7,100%,421,437,456,257
15.9,15.7,100%,423,438,455,258
15.9,15.7,100%,421,438,457,259
15.9,15.7,100%,423,437,455,258
15.9,15.7,100%,422,436,456,261
16.0,15.7,100%,423,437,454,260
16.0,15.7,100%,424,438,453,258
16.0,15.7,100%,424,437,451,259
16.0,15.7,100%,424,438,452,257
16.0,15.7,100%,423,438,456,255
16.0,15.7,100%,423,436,454,259
16.0,15.7,100%,423,437,454,260
16.0,15.7,100%,421,437,457,257
16.0,15.7,100%,423,437,454,257
16.0,15.7,100%,421,437,455,258
16.0,15.7,100%,422,437,456,260
16.0,15.7,100%,421,437,457,260
16.0,15.7,100%,423,438,455,257
15.9,15.7,100%,420,437,458,259
16.0,15.7,100%,423,438,454,258
15.9,15.7,100%,423,437,456,258
16.0,15.7,100%,421,436,457,260
15.9,15.7,100%,423,437,455,259
15.9,15.7,100%,424,437,454,260
15.9,15.7,100%,423,437,455,259
15.9,15.7,100%,421,436,456,259
15.9,15.7,100%,421,438,460,257
15.9,15.7,100%,424,437,454,258
16.0,15.7,100%,424,437,454,257
15.9,15.7,100%,423,436,453,258
15.9,15.7,100%,423,437,454,260
16.0,15.7,100%,422,437,456,259
16.0,15.7,100%,426,438,451,258
16.0,15.7,100%,423,437,454,260
16.0,15.7,100%,423,436,455,260
16.0,15.7,100%,421,437,458,261
15.9,15.7,100%,423,437,454,259
15.9,15.7,99%,424,439,454,255
15.8,15.7,100%,422,438,456,259
15.8,15.7,100%,421,437,456,259
15.8,15.7,100%,424,439,453,255
15.8,15.7,100%,423,438,453,257
15.8,15.7,100%,422,437,456,261
15.8,15.7,100%,423,437,455,260
15.8,15.7,100%,424,437,453,259
15.8,15.7,100%,423,437,454,259
15.8,15.9,100%,421,437,456,259
15.8,15.9,100%,421,437,457,259
15.8,15.9,100%,424,437,453,259
15.8,15.9,100%,423,437,455,258
15.8,15.9,100%,422,437,455,260
15.9,15.9,100%,423,438,453,257
15.9,15.9,100%,422,437,455,260
15.9,15.9,100%,422,437,456,258
15.9,15.9,100%,422,438,457,258
15.9,15.9,100%,424,438,454,258
15.9,15.9,100%,425,437,452,257
16.0,15.9,100%,424,437,454,257
16.0,15.9,100%,423,438,454,257
16.0,15.9,100%,423,437,456,258
16.0,15.9,100%,424,438,453,256
16.0,15.9,100%,424,437,454,257
16.0,15.9,100%,423,438,455,258
16.0,15.9,100%,424,438,453,256
16.0,15.9,100%,424,437,455,259
16.0,15.9,100%,424,437,453,256
16.0,15.9,100%,424,437,454,258
16.0,15.9,100%,423,437,454,258
16.0,15.9,100%,423,436,453,260
16.0,15.9,100%,423,437,455,260
16.0,15.9,100%,424,437,454,260
16.0,15.9,100%,424,437,451,258
16.0,15.9,100%,424,438,454,257
16.0,15.9,100%,421,437,456,261
16.0,15.9,100%,423,438,455,257
16.0,15.9,100%,425,438,452,256
16.0,15.9,100%,422,437,457,259
15.9,15.9,100%,423,437,454,258
15.9,15.9,100%,423,437,453,258
16.0,15.9,100%,422,438,455,257
16.0,15.9,100%,423,437,455,259
16.0,15.9,100%,422,437,456,258
16.0,15.9,100%,424,437,452,259
15.9,15.9,100%,424,436,453,259
16.0,15.9,100%,424,436,453,259
16.0,15.9,100%,424,439,453,256
16.0,15.9,100%,424,438,455,258
16.0,15.9,100%,425,438,454,259
16.0,15.9,100%,424,438,453,257
16.0,15.9,100%,423,438,454,256
16.0,15.9,100%,425,438,450,253
16.0,15.9,100%,424,438,451,254
16.0,15.9,100%,423,436,453,258
16.0,15.9,100%,422,437,455,257
16.0,16.0,100%,421,436,457,259
16.0,16.0,100%,422,436,457,259
16.0,16.0,100%,420,436,459,260
16.0,16.0,100%,423,438,453,257
16.0,16.0,100%,423,437,454,256
16.0,16.0,100%,423,436,454,259
16.0,16.0,100%,422,436,454,258
16.0,16.0,100%,423,437,456,257
16.0,16.0,100%,425,439,452,255
16.0,16.0,100%,422,436,455,259
15.9,16.0,100%,424,437,452,259
15.9,16.0,100%,426,438,448,255
15.9,16.0,100%,424,437,451,257
15.9,16.0,100%,424,437,452,258
15.9,16.0,100%,424,437,454,258
15.9,16.0,100%,423,437,454,258
15.9,16.0,100%,422,437,456,258
15.9,16.0,100%,424,438,452,258
15.9,16.0,100%,425,436,452,258
15.9,16.0,100%,423,437,452,257
15.9,16.0,100%,423,436,454,259
15.9,16.0,100%,424,438,453,254
15.9,16.0,100%,424,436,453,261
15.9,16.0,100%,423,436,453,259
15.9,16.0,100%,423,436,454,256
15.9,16.0,100%,423,437,455,258
15.9,16.0,100%,422,437,457,257
15.9,16.0,100%,422,436,456,261
15.9,16.0,100%,423,436,453,258
15.9,16.0,100%,423,437,456,258
15.9,16.0,100%,423,437,456,258
15.9,16.0,100%,424,439,455,257
15.9,16.0,100%,422,437,457,259
15.8,16.0,100%,421,437,456,258
15.8,16.0,100%,419,436,458,259
15.8,16.0,100%,421,436,457,259
15.9,16.0,100%,421,438,457,257
15.9,16.0,100%,422,437,457,257
15.9,16.0,100%,423,437,454,257
15.9,16.0,100%,421,436,456,257
15.9,16.0,100%,422,437,456,259
15.9,16.0,100%,423,436,454,259
15.9,16.0,100%,423,438,454,255
15.9,16.0,100%,423,436,455,260
15.9,16.0,100%,424,436,452,261
15.8,16.0,100%,422,437,457,259
15.8,16.0,100%,422,438,455,260
15.8,16.0,100%,423,437,454,259
15.9,15.9,100%,422,438,455,258
15.9,15.9,100%,423,437,455,259
15.9,15.9,100%,424,436,453,258
15.8,15.9,100%,420,436,458,261
15.8,15.9,100%,422,438,457,259
15.8,15.9,100%,422,436,458,261
15.9,15.9,100%,421,438,457,258
15.9,15.9,100%,423,438,454,258
15.8,15.9,100%,421,437,456,260
15.9,15.9,100%,422,438,456,257
15.9,15.9,100%,424,437,453,258
15.9,15.9,100%,423,438,456,257
15.9,15.9,100%,423,437,453,259
15.9,15.9,100%,421,437,456,259
15.9,15.9,100%,422,438,456,258
15.9,15.9,100%,421,438,458,256
15.8,15.9,100%,423,438,455,258
15.8,15.9,100%,422,438,454,255
15.9,15.9,100%,424,439,453,256
15.9,15.9,100%,423,438,454,255
15.9,15.9,100%,421,438,458,258
15.9,15.9,100%,421,438,457,260
15.9,15.9,100%,421,438,459,256
15.9,15.9,100%,423,437,456,257
16.0,15.9,100%,424,438,454,256
15.9,15.9,100%,422,438,457,257
15.9,15.9,100%,421,438,458,257
15.9,15.9,100%,422,438,457,256
15.9,15.9,100%,423,438,455,257
15.9,15.9,100%,421,437,458,257
15.9,15.9,100%,422,437,457,257
16.0,15.9,100%,422,438,457,257
15.9,15.9,100%,423,438,457,254
15.9,15.9,100%,424,437,454,258
15.9,15.9,100%,421,438,456,257
16.0,15.9,100%,422,438,458,256
16.0,15.9,100%,422,439,459,254
